trialType,trial,purpleBet,response,betScaling,score,RT,nHits,pinkBet,exploded,confidence,ballColour,subjectID
trial,49,,1,,700,1533.6000000000058,20,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,50,,2,,650,1334.3000000000175,20,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,51,,1,,600,1017.5,20,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,52,,2,,700,899.5999999999767,21,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,53,,1,,650,2116.5,21,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,54,,2,,750,567.5,22,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,55,,2,,850,1817.0,23,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,56,,1,,800,1466.6000000000058,23,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,57,,2,,750,716.7000000000116,23,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,58,,2,,850,650.5999999999767,24,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,59,,2,,800,5050.799999999988,24,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,60,,1,,750,734.0999999999767,24,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,61,,2,,700,683.7000000000116,24,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,62,,2,,650,1349.5,24,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,63,,1,,600,3400.0,24,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,64,,2,,550,532.3999999999942,24,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,65,,2,,500,1634.1999999999825,24,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,66,,2,,450,749.6000000000058,24,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,67,,1,,450,833.2000000000116,24,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,68,,1,,550,1316.5999999999767,25,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,69,,1,,650,1450.0,26,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,70,,2,,750,1334.2999999999884,27,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,71,,2,,700,1533.2000000000116,27,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,72,,2,,650,950.8999999999651,27,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,73,,2,,750,565.9000000000233,28,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,74,,1,,850,1515.899999999965,29,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,75,,1,,950,1500.0,30,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,76,,1,,900,1282.6999999999534,30,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,77,,2,,850,649.8999999999651,30,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,78,,2,,800,634.1999999999534,30,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,79,,1,,800,483.5,30,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,80,,1,,750,400.0999999999767,30,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,81,,2,,700,684.1000000000349,30,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,82,,1,,800,300.0999999999767,31,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,83,,1,,900,1716.0,32,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,84,,2,,1000,867.1999999999534,33,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,85,,1,,950,1566.9000000000233,33,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,86,,2,,950,717.1000000000349,33,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,87,,2,,1050,332.29999999998836,34,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,88,,2,,1000,1583.2999999999884,34,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,89,,1,,1100,867.5,35,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,90,,2,,1200,1683.1999999999534,36,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,91,,1,,1300,1434.1999999999534,37,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,92,,2,,1250,1616.4000000000233,37,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,93,,1,,1350,667.2000000000116,38,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,94,,2,,1300,1333.399999999965,38,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,95,,1,,1400,533.3999999999651,39,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,96,,1,,1500,1399.0,40,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,97,,2,,1450,782.5,40,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,98,,2,,1400,632.4000000000233,40,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,99,,1,,1500,884.1000000000349,41,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,100,,1,,1450,1499.0999999999767,41,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,101,,2,,1400,649.9000000000233,41,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,102,,1,,1400,700.7999999999884,41,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,103,,1,,1500,249.0,42,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,104,,1,,1450,1884.0999999999767,42,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,105,,1,,1450,666.7999999999884,42,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,106,,1,,1400,1767.2999999999884,42,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,107,,2,,1350,666.5,42,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,108,,2,,1350,582.7000000000116,42,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,109,,1,,1300,83.39999999996508,42,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,110,,2,,1400,633.0,43,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,111,,1,,1500,1450.5,44,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
